#{"t_start": 1749727092.641134, "env_id": "None"}
r,l,t,resolution,throughput
-2120.0,10000,8.296498,1080p,11350.068282641452
-1536.0,10000,16.606905,1440p,15380.472103161861
-2304.0,10000,26.245225,1440p,17600.88827281405
-1976.0,10000,35.542022,1080p,11490.77861191082
-688.0,10000,46.572546,1440p,15202.802874122213
-888.0,10000,59.392444,1440p,15668.92561686836
124.0,10000,72.197607,1080p,12191.175230560482
1400.0,10000,84.72209,1440p,15237.187403590524
1892.0,10000,98.353535,1440p,15019.657154340179
3320.0,10000,112.1438,1080p,14089.67707575734
5724.0,10000,130.750486,1440p,15563.98317866688
8412.0,10000,147.867918,1440p,15419.555559465172
10072.0,10000,165.685204,1440p,23250.86766819741
10840.0,10000,181.983559,1080p,13940.903874797796
10420.0,10000,197.017884,1440p,20948.69206373659
10808.0,10000,210.659332,1440p,15588.004794605691
12792.0,10000,223.143332,1440p,15465.450417653019
12468.0,10000,236.202738,1080p,12689.966754939707
13800.0,10000,249.151407,1440p,21085.91968576799
13164.0,10000,262.221202,1080p,12628.950316157918
