#{"t_start": 1749653084.701469, "env_id": "None"}
r,l,t,resolution,throughput
832.0,10000,11.067771,1440p,15398.108130778452
8744.0,10000,23.746513,1080p,14670.151485526558
15448.0,10000,34.125367,1440p,22862.16517176163
16808.0,10000,45.08899,1440p,16413.35890981781
18340.0,10000,55.930304,1080p,13407.217767108783
18736.0,10000,67.22142,1080p,12919.305071070235
18580.0,10000,78.594364,1080p,13013.777491366523
17692.0,10000,89.474661,1440p,19682.374320030875
19148.0,10000,100.52058,1440p,15501.860090934333
19180.0,10000,112.399093,1080p,9454.799032367702
16380.0,10000,124.441213,1440p,19573.18937522519
19932.0,10000,136.089045,1080p,10420.331282525045
18536.0,10000,149.284977,1440p,21553.459156135887
20188.0,10000,162.433157,1440p,17888.580826129317
20068.0,10000,174.974054,1080p,10420.331282525045
20124.0,10000,187.444424,1080p,8970.598744282883
20376.0,10000,199.344389,1080p,12415.213324221508
20220.0,10000,210.98084,1080p,11133.594977997322
20604.0,10000,222.092446,1080p,12453.364054734267
20676.0,10000,233.780231,1440p,16762.571254853392
