Original Network Latency,Original Computing Latency,Original Throughput (kbps),Original Selected Bitrate (kbps),Original Resolution,Recommended Action,New Network Latency,New Computing Latency,New Throughput (kbps),New Selected Bitrate (kbps),New Resolution,Algorithm,success,Original_Total_Latency,New_Total_Latency,Latency_Bucket
1.1469989852172378,1.1964350783394695,14318.487779030287,8000,1080p,Decrease Both Latencies,0.8617120010507533,0.911148094172985,18926.723033813545,15000,1440p,DQN,succeeded,2.3434340635567072,1.7728600952237383,2.1-3.0ms
1.0586818926380226,0.7631484357537044,18417.97859936888,15000,1440p,Decrease Computing Latency,1.0586818926380226,0.6374862210310155,19782.49191786614,15000,1440p,DQN,succeeded,1.821830328391727,1.696168113669038,1.1-2.1ms
0.8985894989767856,1.2392170509091065,15695.728877709262,15000,1440p,Decrease Network Latency,0.681990564362962,1.2392170509091065,17465.281593342137,15000,1440p,DQN,succeeded,2.1378065498858922,1.9212076152720685,2.1-3.0ms
1.6669667158614712,1.4605546227054431,10728.76197077371,8000,1080p,Keep Latency,1.6669667158614712,1.4605546227054431,10728.76197077371,8000,1080p,DQN,unsuccessful,3.1275213385669143,3.1275213385669143,3.0-4.0ms
1.2685204944188104,1.7054505840929242,11282.702862326303,8000,1080p,Keep Latency,1.2685204944188104,1.7054505840929242,11282.702862326303,8000,1080p,DQN,unsuccessful,2.9739710785117346,2.9739710785117346,2.1-3.0ms
0.9771437578765552,0.786087141095707,19030.083932602323,15000,1440p,Decrease Computing Latency,0.9771437578765552,0.6749042620111432,20310.809126650533,15000,1440p,DQN,succeeded,1.763230898972262,1.6520480198876983,1.1-2.1ms
1.1646839864673797,1.7058283308465172,11689.353080846144,8000,1080p,Keep Latency,1.1646839864673797,1.7058283308465172,11689.353080846144,8000,1080p,DQN,unsuccessful,2.8705123173138967,2.8705123173138967,2.1-3.0ms
0.6478128219573476,0.7900703287727808,23335.99359792326,15000,1440p,Decrease Both Latencies,0.6008200185106181,0.7430775253260513,24967.998605166016,15000,1440p,DQN,succeeded,1.4378831507301284,1.3438975438366694,1.1-2.1ms
2.0099227705030698,1.7515008616230787,8920.673468793337,8000,1080p,Keep Latency,2.0099227705030698,1.7515008616230787,8920.673468793337,8000,1080p,DQN,unsuccessful,3.7614236321261485,3.7614236321261485,3.0-4.0ms
0.93359089694878,0.7436799641484473,20005.374670403296,15000,1440p,Decrease Computing Latency,0.93359089694878,0.6522001573374456,21159.428229403813,15000,1440p,DQN,succeeded,1.6772708610972273,1.5857910542862257,1.1-2.1ms
