Day,Time,RequestCount,DeviationPercentage
Monday,00:00,70,40.0
Monday,00:05,69,39.2
Monday,00:10,69,38.3
Monday,00:15,68,37.5
Monday,00:20,68,36.7
Monday,00:25,67,35.8
Monday,00:30,67,35.0
Monday,00:35,67,34.2
Monday,00:40,66,33.3
Monday,00:45,66,32.5
Monday,00:50,65,31.7
Monday,00:55,65,30.8
Monday,01:00,65,30.0
Monday,01:05,63,27.5
Monday,01:10,62,25.0
Monday,01:15,61,22.5
Monday,01:20,59,20.0
Monday,01:25,58,17.5
Monday,01:30,57,15.0
Monday,01:35,56,12.5
Monday,01:40,54,10.0
Monday,01:45,53,7.5
Monday,01:50,52,5.0
Monday,01:55,51,2.5
Monday,02:00,50,0.0
Monday,02:05,49,-1.7
Monday,02:10,48,-3.3
Monday,02:15,47,-5.0
Monday,02:20,46,-6.7
Monday,02:25,46,-8.3
Monday,02:30,44,-10.0
Monday,02:35,44,-11.7
Monday,02:40,43,-13.3
Monday,02:45,42,-15.0
Monday,02:50,41,-16.7
Monday,02:55,40,-18.3
Monday,03:00,40,-20.0
Monday,03:05,39,-21.7
Monday,03:10,38,-23.3
Monday,03:15,37,-25.0
Monday,03:20,36,-26.7
Monday,03:25,35,-28.3
Monday,03:30,35,-30.0
Monday,03:35,34,-31.7
Monday,03:40,33,-33.3
Monday,03:45,32,-35.0
Monday,03:50,31,-36.7
Monday,03:55,31,-38.3
Monday,04:00,30,-40.0
Monday,04:05,28,-42.5
Monday,04:10,27,-45.0
Monday,04:15,26,-47.5
Monday,04:20,25,-50.0
Monday,04:25,23,-52.5
Monday,04:30,22,-55.0
Monday,04:35,21,-57.5
Monday,04:40,19,-60.0
Monday,04:45,18,-62.5
Monday,04:50,17,-65.0
Monday,04:55,16,-67.5
Monday,05:00,15,-70.0
Monday,05:05,14,-71.7
Monday,05:10,13,-73.3
Monday,05:15,12,-75.0
Monday,05:20,11,-76.7
Monday,05:25,10,-78.3
Monday,05:30,10,-80.0
Monday,05:35,9,-81.7
Monday,05:40,8,-83.3
Monday,05:45,7,-85.0
Monday,05:50,6,-86.7
Monday,05:55,6,-88.3
Monday,06:00,4,-90.0
Monday,06:05,5,-88.3
Monday,06:10,6,-86.7
Monday,06:15,7,-85.0
Monday,06:20,8,-83.3
Monday,06:25,9,-81.7
Monday,06:30,10,-80.0
Monday,06:35,11,-78.3
Monday,06:40,11,-76.7
Monday,06:45,12,-75.0
Monday,06:50,13,-73.3
Monday,06:55,14,-71.7
Monday,07:00,14,-70.0
Monday,07:05,16,-67.5
Monday,07:10,17,-65.0
Monday,07:15,18,-62.5
Monday,07:20,20,-60.0
Monday,07:25,21,-57.5
Monday,07:30,22,-55.0
Monday,07:35,23,-52.5
Monday,07:40,24,-50.0
Monday,07:45,26,-47.5
Monday,07:50,27,-45.0
Monday,07:55,28,-42.5
Monday,08:00,30,-40.0
Monday,08:05,31,-38.3
Monday,08:10,31,-36.7
Monday,08:15,32,-35.0
Monday,08:20,33,-33.3
Monday,08:25,33,-31.7
Monday,08:30,35,-30.0
Monday,08:35,36,-28.3
Monday,08:40,36,-26.7
Monday,08:45,37,-25.0
Monday,08:50,38,-23.3
Monday,08:55,39,-21.7
Monday,09:00,40,-20.0
Monday,09:05,40,-18.3
Monday,09:10,41,-16.7
Monday,09:15,42,-15.0
Monday,09:20,43,-13.3
Monday,09:25,44,-11.7
Monday,09:30,45,-10.0
Monday,09:35,46,-8.3
Monday,09:40,46,-6.7
Monday,09:45,47,-5.0
Monday,09:50,48,-3.3
Monday,09:55,49,-1.7
Monday,10:00,49,0.0
Monday,10:05,50,0.0
Monday,10:10,50,0.0
Monday,10:15,50,0.0
Monday,10:20,49,0.0
Monday,10:25,50,0.0
Monday,10:30,50,0.0
Monday,10:35,49,0.0
Monday,10:40,50,0.0
Monday,10:45,50,0.0
Monday,10:50,49,0.0
Monday,10:55,50,0.0
Monday,11:00,50,0.0
Monday,11:05,50,0.4
Monday,11:10,50,0.8
Monday,11:15,50,1.2
Monday,11:20,51,1.7
Monday,11:25,51,2.1
Monday,11:30,51,2.5
Monday,11:35,51,2.9
Monday,11:40,51,3.3
Monday,11:45,52,3.8
Monday,11:50,51,4.2
Monday,11:55,52,4.6
Monday,12:00,52,5.0
Monday,12:05,52,5.4
Monday,12:10,53,5.8
Monday,12:15,52,6.2
Monday,12:20,53,6.7
Monday,12:25,53,7.1
Monday,12:30,53,7.5
Monday,12:35,53,7.9
Monday,12:40,54,8.3
Monday,12:45,54,8.8
Monday,12:50,54,9.2
Monday,12:55,54,9.6
Monday,13:00,55,10.0
Monday,13:05,55,11.7
Monday,13:10,56,13.3
Monday,13:15,57,15.0
Monday,13:20,58,16.7
Monday,13:25,59,18.3
Monday,13:30,60,20.0
Monday,13:35,61,21.7
Monday,13:40,61,23.3
Monday,13:45,62,25.0
Monday,13:50,63,26.7
Monday,13:55,64,28.3
Monday,14:00,65,30.0
Monday,14:05,66,32.5
Monday,14:10,67,35.0
Monday,14:15,68,37.5
Monday,14:20,70,40.0
Monday,14:25,71,42.5
Monday,14:30,72,45.0
Monday,14:35,73,47.5
Monday,14:40,75,50.0
Monday,14:45,76,52.5
Monday,14:50,77,55.0
Monday,14:55,79,57.5
Monday,15:00,80,60.0
Monday,15:05,80,61.7
Monday,15:10,81,63.3
Monday,15:15,82,65.0
Monday,15:20,83,66.7
Monday,15:25,84,68.3
Monday,15:30,84,70.0
Monday,15:35,85,71.7
Monday,15:40,86,73.3
Monday,15:45,87,75.0
Monday,15:50,88,76.7
Monday,15:55,89,78.3
Monday,16:00,90,80.0
Monday,16:05,89,78.3
Monday,16:10,88,76.7
Monday,16:15,87,75.0
Monday,16:20,86,73.3
Monday,16:25,85,71.7
Monday,16:30,85,70.0
Monday,16:35,83,68.3
Monday,16:40,83,66.7
Monday,16:45,82,65.0
Monday,16:50,81,63.3
Monday,16:55,81,61.7
Monday,17:00,79,60.0
Monday,17:05,79,59.2
Monday,17:10,79,58.3
Monday,17:15,78,57.5
Monday,17:20,78,56.7
Monday,17:25,77,55.8
Monday,17:30,77,55.0
Monday,17:35,77,54.2
Monday,17:40,76,53.3
Monday,17:45,76,52.5
Monday,17:50,75,51.7
Monday,17:55,75,50.8
Monday,18:00,75,50.0
Monday,18:05,74,49.2
Monday,18:10,74,48.3
Monday,18:15,73,47.5
Monday,18:20,73,46.7
Monday,18:25,73,45.8
Monday,18:30,72,45.0
Monday,18:35,71,44.2
Monday,18:40,71,43.3
Monday,18:45,71,42.5
Monday,18:50,71,41.7
Monday,18:55,70,40.8
Monday,19:00,69,40.0
Monday,19:05,69,39.2
Monday,19:10,69,38.3
Monday,19:15,68,37.5
Monday,19:20,68,36.7
Monday,19:25,67,35.8
Monday,19:30,67,35.0
Monday,19:35,67,34.2
Monday,19:40,66,33.3
Monday,19:45,66,32.5
Monday,19:50,65,31.7
Monday,19:55,65,30.8
Monday,20:00,65,30.0
Monday,20:05,64,29.2
Monday,20:10,64,28.3
Monday,20:15,63,27.5
Monday,20:20,63,26.7
Monday,20:25,63,25.8
Monday,20:30,62,25.0
Monday,20:35,62,24.2
Monday,20:40,61,23.3
Monday,20:45,61,22.5
Monday,20:50,60,21.7
Monday,20:55,60,20.8
Monday,21:00,60,20.0
Monday,21:05,60,20.8
Monday,21:10,61,21.7
Monday,21:15,61,22.5
Monday,21:20,61,23.3
Monday,21:25,61,24.2
Monday,21:30,62,25.0
Monday,21:35,63,25.8
Monday,21:40,63,26.7
Monday,21:45,63,27.5
Monday,21:50,64,28.3
Monday,21:55,64,29.2
Monday,22:00,65,30.0
Monday,22:05,65,31.7
Monday,22:10,66,33.3
Monday,22:15,67,35.0
Monday,22:20,68,36.7
Monday,22:25,69,38.3
Monday,22:30,70,40.0
Monday,22:35,70,41.7
Monday,22:40,71,43.3
Monday,22:45,72,45.0
Monday,22:50,73,46.7
Monday,22:55,74,48.3
Monday,23:00,75,50.0
Monday,23:05,73,47.5
Monday,23:10,72,45.0
Monday,23:15,71,42.5
Monday,23:20,69,40.0
Monday,23:25,68,37.5
Monday,23:30,67,35.0
Monday,23:35,66,32.5
Monday,23:40,65,30.0
Monday,23:45,63,27.5
Monday,23:50,62,25.0
Monday,23:55,61,22.5
Tuesday,00:00,60,20.0
Tuesday,00:05,59,19.2
Tuesday,00:10,59,18.3
Tuesday,00:15,59,17.5
Tuesday,00:20,58,16.7
Tuesday,00:25,58,15.8
Tuesday,00:30,57,15.0
Tuesday,00:35,57,14.2
Tuesday,00:40,56,13.3
Tuesday,00:45,56,12.5
Tuesday,00:50,56,11.7
Tuesday,00:55,55,10.8
Tuesday,01:00,55,10.0
Tuesday,01:05,54,8.3
Tuesday,01:10,53,6.7
Tuesday,01:15,52,5.0
Tuesday,01:20,51,3.3
Tuesday,01:25,50,1.7
Tuesday,01:30,49,0.0
Tuesday,01:35,49,-1.7
Tuesday,01:40,48,-3.3
Tuesday,01:45,47,-5.0
Tuesday,01:50,46,-6.7
Tuesday,01:55,45,-8.3
Tuesday,02:00,44,-10.0
Tuesday,02:05,44,-11.7
Tuesday,02:10,43,-13.3
Tuesday,02:15,42,-15.0
Tuesday,02:20,41,-16.7
Tuesday,02:25,41,-18.3
Tuesday,02:30,40,-20.0
Tuesday,02:35,39,-21.7
Tuesday,02:40,38,-23.3
Tuesday,02:45,37,-25.0
Tuesday,02:50,36,-26.7
Tuesday,02:55,35,-28.3
Tuesday,03:00,34,-30.0
Tuesday,03:05,34,-31.7
Tuesday,03:10,33,-33.3
Tuesday,03:15,32,-35.0
Tuesday,03:20,31,-36.7
Tuesday,03:25,30,-38.3
Tuesday,03:30,30,-40.0
Tuesday,03:35,29,-41.7
Tuesday,03:40,28,-43.3
Tuesday,03:45,27,-45.0
Tuesday,03:50,26,-46.7
Tuesday,03:55,26,-48.3
Tuesday,04:00,25,-50.0
Tuesday,04:05,24,-52.5
Tuesday,04:10,22,-55.0
Tuesday,04:15,21,-57.5
Tuesday,04:20,20,-60.0
Tuesday,04:25,18,-62.5
Tuesday,04:30,17,-65.0
Tuesday,04:35,16,-67.5
Tuesday,04:40,15,-70.0
Tuesday,04:45,13,-72.5
Tuesday,04:50,12,-75.0
Tuesday,04:55,11,-77.5
Tuesday,05:00,9,-80.0
Tuesday,05:05,9,-81.2
Tuesday,05:10,9,-82.5
Tuesday,05:15,8,-83.8
Tuesday,05:20,7,-85.0
Tuesday,05:25,6,-86.2
Tuesday,05:30,6,-87.5
Tuesday,05:35,5,-88.8
Tuesday,05:40,4,-90.0
Tuesday,05:45,4,-91.2
Tuesday,05:50,3,-92.5
Tuesday,05:55,3,-93.8
Tuesday,06:00,2,-95.0
Tuesday,06:05,3,-93.8
Tuesday,06:10,3,-92.5
Tuesday,06:15,4,-91.2
Tuesday,06:20,5,-90.0
Tuesday,06:25,5,-88.8
Tuesday,06:30,6,-87.5
Tuesday,06:35,7,-86.2
Tuesday,06:40,7,-85.0
Tuesday,06:45,7,-83.8
Tuesday,06:50,8,-82.5
Tuesday,06:55,9,-81.2
Tuesday,07:00,9,-80.0
Tuesday,07:05,11,-77.5
Tuesday,07:10,12,-75.0
Tuesday,07:15,13,-72.5
Tuesday,07:20,14,-70.0
Tuesday,07:25,16,-67.5
Tuesday,07:30,17,-65.0
Tuesday,07:35,18,-62.5
Tuesday,07:40,20,-60.0
Tuesday,07:45,21,-57.5
Tuesday,07:50,22,-55.0
Tuesday,07:55,23,-52.5
Tuesday,08:00,25,-50.0
Tuesday,08:05,25,-48.3
Tuesday,08:10,26,-46.7
Tuesday,08:15,27,-45.0
Tuesday,08:20,28,-43.3
Tuesday,08:25,29,-41.7
Tuesday,08:30,30,-40.0
Tuesday,08:35,30,-38.3
Tuesday,08:40,31,-36.7
Tuesday,08:45,32,-35.0
Tuesday,08:50,33,-33.3
Tuesday,08:55,34,-31.7
Tuesday,09:00,34,-30.0
Tuesday,09:05,35,-28.3
Tuesday,09:10,36,-26.7
Tuesday,09:15,37,-25.0
Tuesday,09:20,38,-23.3
Tuesday,09:25,39,-21.7
Tuesday,09:30,39,-20.0
Tuesday,09:35,40,-18.3
Tuesday,09:40,41,-16.7
Tuesday,09:45,42,-15.0
Tuesday,09:50,43,-13.3
Tuesday,09:55,43,-11.7
Tuesday,10:00,45,-10.0
Tuesday,10:05,45,-9.6
Tuesday,10:10,45,-9.2
Tuesday,10:15,45,-8.8
Tuesday,10:20,45,-8.3
Tuesday,10:25,46,-7.9
Tuesday,10:30,46,-7.5
Tuesday,10:35,46,-7.1
Tuesday,10:40,46,-6.7
Tuesday,10:45,46,-6.2
Tuesday,10:50,47,-5.8
Tuesday,10:55,47,-5.4
Tuesday,11:00,47,-5.0
Tuesday,11:05,47,-4.6
Tuesday,11:10,48,-4.2
Tuesday,11:15,48,-3.8
Tuesday,11:20,48,-3.3
Tuesday,11:25,48,-2.9
Tuesday,11:30,48,-2.5
Tuesday,11:35,49,-2.1
Tuesday,11:40,49,-1.7
Tuesday,11:45,49,-1.2
Tuesday,11:50,49,-0.8
Tuesday,11:55,49,-0.4
