Total Network Latency (s),Total Computing Latency (s),Throughput (kbps),Selected Bitrate (kbps),Resolution
1.1469989852172378,1.1964350783394695,14318.487779030287,8000,1080p
1.0586818926380226,0.7631484357537044,18417.97859936888,15000,1440p
0.8985894989767856,1.2392170509091063,15695.728877709262,15000,1440p
1.6669667158614712,1.4605546227054431,10728.76197077371,8000,1080p
1.2685204944188104,1.7054505840929242,11282.702862326305,8000,1080p
0.9771437578765553,0.786087141095707,19030.083932602323,15000,1440p
1.1646839864673795,1.7058283308465172,11689.353080846144,8000,1080p
0.6478128219573476,0.7900703287727808,23335.99359792326,15000,1440p
2.0099227705030698,1.7515008616230787,8920.673468793337,8000,1080p
0.9335908969487801,0.7436799641484473,20005.374670403296,15000,1440p
1.1626503188727073,0.8002460499285442,17094.347176612195,15000,1440p
1.4258664884263212,0.9560521398809931,14087.14454021677,8000,1080p
1.4613902019616736,1.2090023991236862,12565.35536623419,8000,1080p
1.09042763945652,1.0065158744097247,16001.590781114526,15000,1440p
1.2659935967164497,1.003840563314873,14782.76809418401,8000,1080p
1.5265372610119463,1.169321148910295,12446.659615542581,8000,1080p
1.0786866970757885,1.396502303321439,13556.311051242981,8000,1080p
1.014546453402748,0.6858599122769538,19733.184183056925,15000,1440p
1.949453551906682,1.490264047137542,9754.996168674892,8000,1080p
2.1198390576734583,1.664623797912319,8866.365790979942,8000,1080p
1.4053163612442239,1.2597253755071662,12590.58405625643,8000,1080p
1.004730694951592,1.3377682784266767,14324.203502898015,8000,1080p
0.9326413547205779,1.2718953487051674,15220.627512283198,15000,1440p
1.1876351825476286,0.9070398147516563,16018.920378226952,15000,1440p
2.478857465067515,1.7909742582949244,7858.490491886716,4000,720p
1.5695913167090125,1.6136961739258717,10540.81106363026,8000,1080p
1.5786952511732388,1.468251672244393,11012.476699910285,8000,1080p
1.301281487226527,1.8442424699477864,10667.358588533089,8000,1080p
2.3398182227403033,2.0666644594532113,7614.788124685617,4000,720p
1.5309817182744077,1.3251206098549244,11748.329767294164,8000,1080p
1.1312314041748421,1.0816493792604533,15163.235295445878,15000,1440p
1.0116356172882157,1.2728789133241505,14687.773507400587,8000,1080p
1.3949912968072191,1.1023984679728513,13435.801040433482,8000,1080p
1.482017411143637,1.2418848829862188,12318.515268448306,8000,1080p
0.7845663053529304,1.0727226893331891,18066.349445887216,15000,1440p
1.4705209809405708,1.0569576998097585,13275.851644390028,8000,1080p
1.0859847786761598,0.8347481799594532,17469.59766017411,15000,1440p
1.1800836459796118,1.210086662845181,14038.5109279088,8000,1080p
1.4309218722775319,1.0818631747425156,13353.482837615873,8000,1080p
1.3254778151235656,1.385249536407376,12378.386922996668,8000,1080p
2.651370890577821,2.4689123095434753,6553.2375238942095,4000,720p
1.5633888864582808,1.4912813706941859,10984.633094663091,8000,1080p
1.9984190847522771,1.361985476934988,9985.235820282383,8000,1080p
1.2466388701361928,0.903331752381551,15606.925810319102,15000,1440p
1.3198030070381197,1.1261442755301108,13718.379066930684,8000,1080p
1.7520315675652836,1.2217091652990255,11283.576819314827,8000,1080p
0.6115611994668322,0.8578668746596729,22835.028533088484,15000,1440p
1.0322982781820318,1.0627682620301446,16015.92663333824,15000,1440p
1.405708378596678,1.009148833243917,13894.99629024647,8000,1080p
1.6299576742367456,1.0882620940390786,12344.267520828047,8000,1080p
0.6992710636556587,1.0256219162508053,19453.05151732924,15000,1440p
1.5465838643654544,1.3400448090355446,11624.090174530998,8000,1080p
2.3610202554184885,1.7094763598929048,8243.326348382945,8000,1080p
1.183193991180376,0.839907822605489,16585.636852951568,15000,1440p
1.1671873064611336,1.267552220500892,13781.528425698962,8000,1080p
1.1188864818460105,1.5966956699720423,12356.257378380424,8000,1080p
1.2361852340276362,1.4935264448277294,12292.298948609176,8000,1080p
1.0463064731893978,0.8564710557212076,17634.448321034604,15000,1440p
1.1370697996973063,1.5610631019426282,12436.167239799604,8000,1080p
0.7352546866735314,0.8633729013907574,20989.523920721058,15000,1440p
0.9549230633502372,0.8618562525618143,18469.184290088175,15000,1440p
1.2849885767029314,1.1518400965680864,13769.71322114288,8000,1080p
0.8209807717676226,0.619955748222731,23286.54422626795,15000,1440p
1.6781237406837715,1.2472017526080093,11470.324268853312,8000,1080p
1.6095869531800486,1.7715906220964175,9923.889311627292,8000,1080p
0.9060049002496738,0.7724294076863919,19991.50746701618,15000,1440p
1.2159770326588852,1.0352748273396057,14904.788129757499,8000,1080p
